# Time-averaged data for fix myfile
# TimeStep v_tot_pe v_tot_vol v_tot_density
5000000 -4.51207 1109.67 0.901168
5010000 -4.44307 1109.71 0.901134
5020000 -4.4379 1109.7 0.901143
5030000 -4.38345 1109.64 0.901191
5040000 -4.59967 1109.54 0.901274
5050000 -4.53215 1109.39 0.901397
5060000 -4.54944 1109.2 0.901554
5070000 -4.54638 1108.96 0.901742
5080000 -4.58946 1108.69 0.901963
5090000 -4.49693 1108.38 0.902216
5100000 -4.54838 1108.03 0.902501
5110000 -4.50374 1107.64 0.902818
5120000 -4.53617 1107.22 0.90316
5130000 -4.55816 1106.77 0.90353
5140000 -4.51706 1106.29 0.903926
5150000 -4.66342 1105.77 0.904348
5160000 -4.57174 1105.21 0.904801
5170000 -4.6227 1104.63 0.905282
5180000 -4.50699 1104.01 0.905789
5190000 -4.51313 1103.36 0.90632
5200000 -4.55806 1102.69 0.906875
5210000 -4.53331 1101.98 0.907455
5220000 -4.60443 1101.25 0.90806
5230000 -4.70005 1100.49 0.908685
5240000 -4.6341 1099.71 0.909331
5250000 -4.63262 1098.91 0.909995
5260000 -4.49805 1098.08 0.910679
5270000 -4.57769 1097.24 0.911379
5280000 -4.64531 1096.38 0.912094
5290000 -4.62366 1095.51 0.912818
5300000 -4.56751 1094.64 0.913545
5310000 -4.5192 1093.77 0.914273
5320000 -4.58753 1092.9 0.914999
5330000 -4.5689 1092.03 0.915724
5340000 -4.53003 1091.17 0.916446
5350000 -4.55666 1090.31 0.917169
5360000 -4.57223 1089.46 0.917889
5370000 -4.45004 1088.61 0.9186
5380000 -4.6045 1087.79 0.919297
5390000 -4.58023 1086.98 0.919983
5400000 -4.6223 1086.18 0.920658
5410000 -4.53417 1085.4 0.921321
5420000 -4.61142 1084.63 0.921971
5430000 -4.52482 1083.89 0.922607
5440000 -4.48593 1083.16 0.923226
5450000 -4.48298 1082.46 0.923824
5460000 -4.53939 1081.78 0.924406
5470000 -4.56342 1081.11 0.924972
5480000 -4.48219 1080.47 0.925521
5490000 -4.58167 1079.85 0.926054
5500000 -4.59714 1079.25 0.926569
5510000 -4.50456 1078.67 0.927067
5520000 -4.56416 1078.12 0.927541
